timestamp,v1,v2,label
1752333680.920441,1.522,1.397,0
1752333680.920441,1.542,1.394,0
1752333680.920441,1.525,1.384,0
1752333680.920441,1.542,1.402,0
1752333680.920441,1.525,1.399,0
1752333680.9214396,1.531,1.381,0
1752333680.9214396,1.536,1.396,0
1752333680.9214396,1.529,1.399,0
1752333680.9214396,1.53,1.409,0
1752333680.9214396,1.524,1.383,0
1752333680.9214396,1.547,1.393,0
1752333680.9214396,1.542,1.383,0
1752333680.9214396,1.522,1.409,0
1752333680.9214396,1.529,1.397,0
1752333680.9224367,1.547,1.393,0
1752333680.9224367,1.541,1.386,0
1752333680.9224367,1.535,1.394,0
1752333680.9224367,1.544,1.396,0
1752333680.9224367,1.534,1.389,0
1752333680.9224367,1.537,1.394,0
1752333680.9224367,1.525,1.384,0
1752333680.9224367,1.537,1.393,0
1752333680.923434,1.546,1.393,0
1752333680.923434,1.534,1.409,0
1752333680.923434,1.538,1.402,0
1752333680.923434,1.531,1.399,0
1752333680.923434,1.538,1.388,0
1752333680.923434,1.522,1.383,0
1752333680.923434,1.559,1.397,0
1752333680.923434,1.536,1.383,0
1752333680.923434,1.535,1.383,0
1752333680.9244313,1.526,1.381,0
1752333680.9244313,1.536,1.397,0
1752333680.9244313,1.543,1.389,0
1752333680.9244313,1.538,1.381,0
1752333680.9244313,1.532,1.402,0
1752333680.9244313,1.537,1.391,0
1752333680.9244313,1.538,1.388,0
1752333680.9244313,1.528,1.397,0
1752333680.9254286,1.541,1.399,0
1752333680.9254286,1.53,1.388,0
1752333680.9254286,1.542,1.404,0
1752333680.9254286,1.53,1.399,0
1752333680.9254286,1.542,1.386,0
1752333680.9254286,1.528,1.384,0
1752333680.9254286,1.543,1.386,0
1752333680.9264262,1.534,1.393,0
1752333680.9264262,1.53,1.381,0
1752333680.9264262,1.542,1.401,0
1752333680.9264262,1.53,1.381,0
1752333680.9264262,1.537,1.388,0
1752333680.9264262,1.525,1.389,0
1752333680.9264262,1.538,1.389,0
1752333680.9264262,1.539,1.399,0
1752333680.9274235,1.539,1.399,0
1752333680.9274235,1.533,1.402,0
1752333680.9274235,1.532,1.391,0
1752333680.9274235,1.532,1.397,0
1752333680.9274235,1.53,1.368,0
1752333680.9274235,1.548,1.389,0
1752333680.9274235,1.537,1.37,0
1752333680.9274235,1.529,1.376,0
1752333680.9284236,1.533,1.386,0
1752333680.9284236,1.537,1.386,0
1752333680.9284236,1.527,1.393,0
1752333680.9284236,1.541,1.389,0
1752333680.9284236,1.541,1.41,0
1752333680.9284236,1.528,1.383,0
1752333680.9284236,1.544,1.396,0
1752333680.9284236,1.534,1.394,0
1752333680.929418,1.528,1.389,0
1752333680.929418,1.536,1.388,0
1752333680.929418,1.53,1.396,0
1752333680.929418,1.535,1.386,0
1752333680.929418,1.536,1.396,0
1752333680.929418,1.538,1.389,0
1752333680.929418,1.533,1.389,0
1752333680.929418,1.535,1.394,0
1752333680.9304154,1.534,1.389,0
1752333680.9304154,1.541,1.393,0
1752333680.9304154,1.531,1.391,0
1752333680.9304154,1.534,1.401,0
1752333680.9304154,1.536,1.388,0
1752333680.9304154,1.537,1.397,0
1752333680.9304154,1.535,1.388,0
1752333680.9304154,1.537,1.388,0
1752333680.9314225,1.532,1.407,0
1752333680.9314225,1.531,1.388,0
1752333680.9314225,1.538,1.407,0
1752333680.9314225,1.53,1.388,0
1752333680.9314225,1.538,1.389,0
1752333680.93241,1.534,1.386,0
1752333680.93241,1.536,1.386,0
1752333680.93241,1.542,1.394,0
1752333680.93241,1.534,1.396,0
1752333680.93241,1.53,1.384,0
1752333680.93241,1.531,1.375,0
1752333680.93241,1.538,1.383,0
1752333680.9334073,1.525,1.375,0
1752333680.9334073,1.538,1.384,0
1752333680.9334073,1.531,1.394,0
1752333680.9334073,1.544,1.404,0
1752333680.9334073,1.536,1.402,0
1752333680.9334073,1.53,1.393,0
1752333680.9334073,1.535,1.388,0
1752333680.9334073,1.536,1.388,0
1752333680.9344046,1.531,1.391,0
1752333680.9344046,1.538,1.394,0
1752333680.9344046,1.534,1.389,0
1752333680.9344046,1.524,1.399,0
1752333680.9344046,1.535,1.389,0
1752333680.9344046,1.535,1.389,0
1752333680.9344046,1.535,1.396,0
1752333680.9344046,1.534,1.389,0
1752333680.9344046,1.53,1.399,0
1752333680.935402,1.531,1.396,0
1752333680.935402,1.531,1.402,0
1752333680.935402,1.548,1.389,0
1752333680.935402,1.534,1.381,0
1752333680.935402,1.532,1.401,0
1752333680.935402,1.538,1.383,0
1752333680.935402,1.529,1.399,0
1752333680.935402,1.539,1.388,0
1752333680.9363995,1.533,1.404,0
1752333680.9363995,1.536,1.396,0
1752333680.9363995,1.539,1.386,0
1752333680.9363995,1.541,1.397,0
1752333680.9363995,1.534,1.389,0
1752333680.9363995,1.536,1.393,0
1752333680.9363995,1.53,1.384,0
1752333680.9363995,1.532,1.412,0
1752333680.9373972,1.529,1.384,0
1752333680.9373972,1.532,1.409,0
1752333680.9373972,1.532,1.389,0
1752333680.9373972,1.532,1.388,0
1752333680.9373972,1.538,1.383,0
1752333680.9373972,1.534,1.38,0
1752333680.9373972,1.533,1.402,0
1752333680.9373972,1.531,1.376,0
1752333680.938394,1.542,1.409,0
1752333680.938394,1.533,1.386,0
1752333680.938394,1.528,1.405,0
1752333680.938394,1.535,1.386,0
1752333680.938394,1.538,1.409,0
1752333680.938394,1.542,1.381,0
1752333680.938394,1.543,1.381,0
1752333680.938394,1.536,1.381,0
1752333680.9393914,1.531,1.401,0
1752333680.9393914,1.536,1.394,0
1752333680.9393914,1.529,1.386,0
1752333680.9393914,1.532,1.388,0
1752333680.9393914,1.528,1.396,0
1752333680.9393914,1.535,1.384,0
1752333680.9393914,1.534,1.386,0
1752333680.9393914,1.539,1.399,0
1752333680.9403887,1.529,1.394,0
1752333680.9403887,1.542,1.388,0
1752333680.9403887,1.536,1.397,0
1752333680.9403887,1.529,1.393,0
1752333680.9403887,1.538,1.412,0
1752333680.9403887,1.53,1.383,0
1752333680.9403887,1.534,1.396,0
1752333680.9403887,1.531,1.405,0
1752333680.941386,1.516,1.386,0
1752333680.941386,1.55,1.389,0
1752333680.941386,1.541,1.393,0
1752333680.941386,1.537,1.397,0
1752333680.941386,1.532,1.389,0
1752333680.941386,1.536,1.412,0
1752333680.941386,1.533,1.384,0
1752333680.9423833,1.548,1.401,0
1752333680.9423833,1.533,1.397,0
1752333680.9423833,1.542,1.396,0
1752333680.9423833,1.51,1.38,0
1752333680.9423833,1.546,1.407,0
1752333680.9423833,1.538,1.386,0
1752333680.9423833,1.532,1.388,0
1752333680.9423833,1.538,1.397,0
1752333680.9433808,1.538,1.393,0
1752333680.9433808,1.537,1.409,0
1752333680.9433808,1.529,1.376,0
1752333680.9433808,1.535,1.384,0
1752333680.9433808,1.535,1.376,0
1752333680.9433808,1.534,1.396,0
1752333680.9433808,1.538,1.384,0
1752333680.9443781,1.537,1.393,0
1752333680.9443781,1.537,1.388,0
1752333680.9443781,1.53,1.383,0
1752333680.9443781,1.537,1.394,0
1752333680.9443781,1.534,1.386,0
1752333680.9443781,1.544,1.401,0
1752333680.9443781,1.533,1.386,0
1752333680.9443781,1.525,1.409,0
1752333680.9453754,1.532,1.383,0
1752333680.9453754,1.538,1.389,0
1752333680.9453754,1.538,1.386,0
1752333680.9453754,1.534,1.389,0
1752333680.9453754,1.532,1.41,0
1752333680.9453754,1.529,1.401,0
1752333680.9453754,1.537,1.402,0
1752333680.9453754,1.529,1.386,0
1752333680.9463725,1.534,1.384,0
1752333680.9463725,1.526,1.389,0
1752333680.9463725,1.538,1.405,0
1752333680.9463725,1.538,1.396,0
1752333680.9463725,1.537,1.386,0
1752333680.9463725,1.524,1.388,0
1752333680.9463725,1.534,1.397,0
1752333680.9463725,1.536,1.409,0
1752333680.94737,1.542,1.396,0
1752333680.94737,1.538,1.409,0
1752333680.94737,1.534,1.393,0
1752333680.94737,1.518,1.391,0
1752333680.94737,1.538,1.401,0
1752333680.94737,1.532,1.394,0
1752333680.94737,1.538,1.391,0
1752333680.9483674,1.552,1.394,0
1752333680.9483674,1.535,1.399,0
1752333680.9483674,1.532,1.401,0
1752333680.9483674,1.532,1.41,0
1752333680.9483674,1.53,1.397,0
1752333680.9483674,1.533,1.401,0
1752333680.9483674,1.53,1.381,0
1752333680.9494073,1.544,1.401,0
1752333680.9494073,1.53,1.389,0
1752333680.9494073,1.531,1.401,0
1752333680.9494073,1.536,1.393,0
1752333680.9494073,1.53,1.397,0
1752333680.9494073,1.533,1.389,0
1752333680.9494073,1.533,1.386,0
1752333680.9494073,1.535,1.401,0
1752333680.9504018,1.528,1.405,0
1752333680.9504018,1.532,1.399,0
1752333680.9504018,1.536,1.399,0
1752333680.9504018,1.531,1.401,0
1752333680.9504018,1.537,1.391,0
1752333680.9504018,1.533,1.388,0
1752333680.9504018,1.536,1.393,0
1752333680.9504018,1.533,1.402,0
1752333680.9504018,1.538,1.409,0
1752333680.9513977,1.532,1.383,0
1752333680.9513977,1.538,1.393,0
1752333680.9513977,1.533,1.407,0
1752333680.9513977,1.537,1.405,0
1752333680.9513977,1.532,1.405,0
1752333680.9513977,1.538,1.389,0
1752333680.9513977,1.531,1.401,0
1752333680.9513977,1.527,1.393,0
1752333680.9513977,1.532,1.401,0
1752333680.9523973,1.533,1.399,0
1752333680.9523973,1.536,1.389,0
1752333680.9523973,1.53,1.383,0
1752333680.9523973,1.536,1.409,0
1752333680.9523973,1.535,1.384,0
1752333680.9523973,1.531,1.391,0
1752333680.9523973,1.533,1.389,0
1752333680.9523973,1.529,1.402,0
1752333680.9533904,1.538,1.394,0
1752333680.9533904,1.534,1.386,0
1752333680.9533904,1.533,1.41,0
1752333680.9533904,1.536,1.393,0
1752333680.9533904,1.541,1.389,0
1752333680.9533904,1.534,1.389,0
1752333680.9598057,1.536,1.397,0
1752333680.9702842,1.533,1.388,0
1752333680.9852731,1.544,1.394,0
1752333680.993227,1.533,1.401,0
1752333681.0024233,1.542,1.386,0
1752333681.014687,1.533,1.393,0
1752333681.0253866,1.543,1.396,0
1752333681.0365973,1.551,1.393,0
1752333681.0475674,1.533,1.394,0
1752333681.0587955,1.532,1.396,0
1752333681.0697644,1.534,1.397,0
1752333681.0807064,1.534,1.405,0
1752333681.0917664,1.538,1.391,0
1752333681.1022387,1.534,1.397,0
1752333681.1130576,1.535,1.389,0
1752333681.1244867,1.53,1.404,0
1752333681.1372037,1.543,1.402,0
1752333681.1501434,1.53,1.388,0
1752333681.1575363,1.544,1.393,0
1752333681.1679823,1.534,1.394,0
1752333681.1785514,1.536,1.388,0
1752333681.1899946,1.542,1.401,0
1752333681.201421,1.534,1.402,0
1752333681.2176747,1.53,1.386,0
1752333681.2246435,1.535,1.399,0
1752333681.2346163,1.537,1.386,0
1752333681.2447715,1.545,1.399,0
1752333681.2563097,1.542,1.402,0
1752333681.2673385,1.539,1.386,0
1752333681.2787664,1.531,1.399,0
1752333681.2947795,1.534,1.38,0
1752333681.302758,1.531,1.381,0
1752333681.311734,1.532,1.393,0
1752333681.3219354,1.538,1.391,0
1752333681.3325825,1.532,1.389,0
1752333681.343905,1.532,1.393,0
1752333681.3551466,1.542,1.393,0
1752333681.3661394,1.53,1.393,0
1752333681.3791082,1.541,1.396,0
1752333681.3890908,1.53,1.38,0
1752333681.3989072,1.539,1.391,0
1752333681.4106524,1.538,1.388,0
1752333681.4210203,1.53,1.402,0
1752333681.431537,1.542,1.401,0
1752333681.4498396,1.531,1.397,0
1752333681.4568546,1.538,1.394,0
1752333681.467792,1.53,1.384,0
1752333681.4758875,1.537,1.394,0
1752333681.4868672,1.529,1.396,0
1752333681.497855,1.536,1.397,0
1752333681.5090966,1.534,1.388,0
1752333681.5203435,1.53,1.396,0
1752333681.5382981,1.534,1.384,0
1752333681.5442815,1.534,1.393,0
1752333681.553258,1.534,1.402,0
1752333681.563263,1.534,1.381,0
1752333681.5752575,1.538,1.396,0
1752333681.5860345,1.544,1.389,0
1752333681.5975733,1.536,1.407,0
1752333681.6095808,1.538,1.38,0
1752333681.6225092,1.533,1.399,0
1752333681.6302211,1.532,1.405,0
1752333681.6412992,1.532,1.397,0
1752333681.6515434,1.526,1.383,0
1752333681.6633298,1.533,1.381,0
1752333681.6740048,1.538,1.397,0
1752333681.6859396,1.533,1.397,0
1752333681.6989295,1.538,1.41,0
1752333681.7070768,1.53,1.401,0
1752333681.7175727,1.542,1.393,0
1752333681.7291415,1.548,1.402,0
1752333681.7405035,1.53,1.405,0
1752333681.7512918,1.544,1.383,0
1752333681.7636287,1.536,1.397,0
1752333681.7765799,1.531,1.407,0
1752333681.783562,1.533,1.384,0
1752333681.7950423,1.532,1.391,0
1752333681.8057995,1.538,1.396,0
1752333681.8164864,1.538,1.401,0
1752333681.8280606,1.532,1.396,0
1752333681.8418276,1.528,1.394,0
1752333681.8507757,1.548,1.399,0
