timestamp,v1,v2,label
1752471464,1.455,1.703,0
1752471464,1.458,1.603,0
1752471464,1.446,1.704,0
1752471464,1.496,1.608,0
1752471464,1.426,1.668,0
1752471464,1.571,1.685,0
1752471464,1.438,1.658,0
1752471464,1.554,1.738,0
1752471464,1.413,1.654,0
1752471464,1.492,1.742,0
1752471464,1.397,1.617,0
1752471464,1.449,1.721,0
1752471464,1.42,1.581,0
1752471464,1.434,1.689,0
1752471464,1.472,1.632,0
1752471464,1.442,1.647,0
1752471464,1.55,1.696,0
1752471464,1.434,1.634,0
1752471464,1.518,1.731,0
1752471464,1.406,1.628,0
1752471464,1.517,1.743,0
1752471464,1.393,1.599,0
1752471464,1.44,1.721,0
1752471464,1.446,1.591,0
1752471464,1.422,1.671,0
1752471464,1.494,1.637,0
1752471464,1.402,1.658,0
1752471464,1.52,1.687,0
1752471464,1.364,1.659,0
1752471464,1.568,1.734,0
1752471464,1.395,1.617,0
1752471464,1.489,1.73,0
1752471464,1.394,1.604,0
1752471464,1.496,1.7,0
1752471464,1.421,1.599,0
1752471464,1.441,1.668,0
1752471464,1.473,1.644,0
1752471464,1.438,1.661,0
1752471464,1.542,1.692,0
1752471464,1.42,1.64,0
1752471464,1.556,1.741,0
1752471464,1.341,1.613,0
1752471464,1.505,1.728,0
1752471464,1.46,1.602,0
1752471464,1.472,1.699,0
1752471464,1.48,1.615,0
1752471464,1.447,1.684,0
1752471464,1.537,1.658,0
1752471464,1.43,1.686,0
1752471464,1.537,1.69,0
1752471464,1.418,1.608,0
1752471464,1.538,1.742,0
1752471464,1.379,1.601,0
1752471464,1.488,1.725,0
1752471464,1.365,1.59,0
1752471464,1.463,1.733,0
1752471464,1.443,1.613,0
1752471464,1.393,1.694,0
1752471464,1.509,1.624,0
1752471464,1.404,1.661,0
1752471464,1.547,1.691,0
1752471464,1.448,1.637,0
1752471464,1.525,1.726,0
1752471464,1.397,1.613,0
1752471464,1.464,1.733,0
1752471464,1.413,1.606,0
1752471464,1.472,1.679,0
1752471464,1.422,1.585,0
1752471464,1.442,1.696,0
1752471464,1.521,1.646,0
1752471464,1.426,1.672,0
1752471464,1.581,1.704,0
1752471464,1.438,1.639,0
1752471464,1.538,1.724,0
1752471464,1.458,1.637,0
1752471464,1.496,1.752,0
1752471464,1.422,1.59,0
1752471464,1.438,1.715,0
1752471464,1.442,1.59,0
1752471464,1.441,1.687,0
